Category,Specialty Area,Work Role,Competency Grouping,Competency ID,Competency,KSA ID,KSA
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Technical,C027,Intelligence Analysis,K0312,"Knowledge of intelligence gathering principles, policies, and procedures including legal authorities and restrictions."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C027,Intelligence Analysis,A0091,Ability to identify intelligence gaps.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C027,Intelligence Analysis,A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C027,Intelligence Analysis,S0232,Skill in identifying intelligence gaps and limitations.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C027,Intelligence Analysis,S0233,Skill in identifying language issues that may have an impact on organization objectives.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,A0091,Ability to identify intelligence gaps.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C027,Intelligence Analysis,A0091,Ability to identify intelligence gaps.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,A0102,Ability to recognize and mitigate deception in reporting and analysis.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C027,Intelligence Analysis,A0102,Ability to recognize and mitigate deception in reporting and analysis.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C027,Intelligence Analysis,A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,K0457,Knowledge of intelligence confidence levels.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,K0458,Knowledge of intelligence disciplines.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,K0460,Knowledge of intelligence preparation of the environment and similar processes.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,K0461,Knowledge of intelligence production processes.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,K0464,"Knowledge of intelligence support to planning, execution, and assessment."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C027,Intelligence Analysis,K0544,Knowledge of target intelligence gathering and operational preparation techniques and life cycles.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C027,Intelligence Analysis,K0550,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference."
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C027,Intelligence Analysis,S0361,Skill to analyze and assess internal and external partner intelligence processes and the development of information requirements and essential information.
Securely Provision (SP),Technology R&D (TRD),Research and Development Specialist (SP-TRD-001),Technical,C027,Intelligence Analysis,K0209,Knowledge of covert communication techniques.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,A0091,Ability to identify intelligence gaps.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,A0102,Ability to recognize and mitigate deception in reporting and analysis.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,K0458,Knowledge of intelligence disciplines.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,K0460,Knowledge of intelligence preparation of the environment and similar processes.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C027,Intelligence Analysis,K0464,"Knowledge of intelligence support to planning, execution, and assessment."
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Professional,C028,Interpersonal Skills,A0069,Ability to apply collaborative skills and strategies.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Professional,C028,Interpersonal Skills,A0069,Ability to apply collaborative skills and strategies.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Professional,C028,Interpersonal Skills,A0076,Ability to coordinate and collaborate with analysts regarding surveillance requirements and essential information development.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Professional,C028,Interpersonal Skills,A0067,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Professional,C028,Interpersonal Skills,A0067,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Professional,C028,Interpersonal Skills,A0067,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Professional,C028,Interpersonal Skills,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Professional,C028,Interpersonal Skills,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Professional,C028,Interpersonal Skills,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),Professional,C028,Interpersonal Skills,S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). "
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Professional,C028,Interpersonal Skills,S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). "
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Professional,C028,Interpersonal Skills,S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). "
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,A0069,Ability to apply collaborative skills and strategies.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Professional,C028,Interpersonal Skills,S0111,Skill in interfacing with customers.
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Professional,C028,Interpersonal Skills,S0111,Skill in interfacing with customers.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Professional,C028,Interpersonal Skills,A0074,Ability to collaborate effectively with others.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Professional,C028,Interpersonal Skills,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Professional,C028,Interpersonal Skills,A0082,Ability to effectively collaborate via virtual teams.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Professional,C028,Interpersonal Skills,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Professional,C028,Interpersonal Skills,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Professional,C028,Interpersonal Skills,S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C029,Knowledge Management,K0521,"Knowledge of priority information, how it is derived, where it is published, how to access, etc."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C029,Knowledge Management,K0521,"Knowledge of priority information, how it is derived, where it is published, how to access, etc."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C029,Knowledge Management,K0526,Knowledge of research strategies and knowledge management.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C029,Knowledge Management,K0526,Knowledge of research strategies and knowledge management.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C029,Knowledge Management,K0554,"Knowledge of tasking, collection, processing, exploitation and dissemination."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C029,Knowledge Management,K0554,"Knowledge of tasking, collection, processing, exploitation and dissemination."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C029,Knowledge Management,K0588,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C029,Knowledge Management,K0588,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization."
Operate and Maintain (OM),Customer Service and Technical Support (STS),Technical Support Specialist (OM-STS-001),Technical,C029,Knowledge Management,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C029,Knowledge Management,S0243,"Skill in knowledge management, including technical documentation techniques (e.g., Wiki page)."
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,A0002,Ability to match the appropriate knowledge repository technology for a given application or environment.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,K0228,Knowledge of taxonomy and semantic ontology theory.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,K0283,"Knowledge of use cases related to collaboration and content synchronization across platforms (e.g., Mobile, PC, Cloud)."
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,S0012,"Skill in conducting knowledge mapping (e.g., map of knowledge repositories)."
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,S0049,Skill in the measuring and reporting of intellectual capital.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C029,Knowledge Management,S0055,Skill in using knowledge management technologies.
Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),Technical,C029,Knowledge Management,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),Technical,C029,Knowledge Management,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),Technical,C029,Knowledge Management,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C029,Knowledge Management,S0243,"Skill in knowledge management, including technical documentation techniques (e.g., Wiki page)."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Technical,C029,Knowledge Management,S0055,Skill in using knowledge management technologies.
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0410,Knowledge of cyber laws and their effect on Cyber planning.
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Operational,C030,"Legal, Government, and Jurisprudence",K0410,Knowledge of cyber laws and their effect on Cyber planning.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Operate and Maintain (OM),Customer Service and Technical Support (STS),Technical Support Specialist (OM-STS-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures."
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0222,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities."
Protect and Defend (PR),Cyber Defense Infrastructure Support (INF),Cyber Defense Infrastructure Support Specialist (PR-INF-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody."
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0155,Knowledge of electronic evidence law.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0156,Knowledge of legal rules of evidence and court procedure.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures."
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0251,"Knowledge of the judicial process, including the presentation of facts and evidence."
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Operational,C030,"Legal, Government, and Jurisprudence",K0351,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Operational,C030,"Legal, Government, and Jurisprudence",A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Operational,C030,"Legal, Government, and Jurisprudence",A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Operational,C030,"Legal, Government, and Jurisprudence",A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Operational,C030,"Legal, Government, and Jurisprudence",K0411,Knowledge of cyber laws and legal considerations and their effect on cyber planning.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Operational,C030,"Legal, Government, and Jurisprudence",K0411,Knowledge of cyber laws and legal considerations and their effect on cyber planning.
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Operational,C030,"Legal, Government, and Jurisprudence",K0411,Knowledge of cyber laws and legal considerations and their effect on cyber planning.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C030,"Legal, Government, and Jurisprudence",K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures."
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C030,"Legal, Government, and Jurisprudence",K0267,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures."
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C030,"Legal, Government, and Jurisprudence",K0267,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Operational,C030,"Legal, Government, and Jurisprudence",K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C030,"Legal, Government, and Jurisprudence",K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Operational,C030,"Legal, Government, and Jurisprudence",K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C030,"Legal, Government, and Jurisprudence",K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Operational,C030,"Legal, Government, and Jurisprudence",K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C030,"Legal, Government, and Jurisprudence",K0155,Knowledge of electronic evidence law.
